Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name
Nithin,4,17.324,91,29.238,100,0.593,101,0.738,98,0.0,1,0.56,100,0.0,1,21.525,67,0.245,86,0.0,1,0.0003683,0,PZ34,-17.324,PZ34_Nithin_4
Xiao,1,17.477,92,24.085,87,0.726,41,0.837,94,-1.0,65,0.702,30,2.28,32,34.579,99,0.229,96,0.0,1,0.0004997,0,PZ34,-17.477,PZ34_Xiao_1
Chen,10,17.833,93,27.869,98,0.64,96,0.923,27,0.0,1,0.556,101,0.0,1,20.814,61,0.24,91,0.0,1,0.0009907,0,PZ34,-17.833,PZ34_Chen_10
Xiao,3,17.848,94,25.643,91,0.696,76,0.894,68,-1.0,65,0.632,80,0.46,21,35.307,100,0.241,90,0.0,1,0.00102,0,PZ34,-17.848,PZ34_Xiao_3
SWMapo,5,18.083,95,24.762,90,0.73,35,0.949,9,0.0,1,0.686,38,8.22,89,22.57,74,0.272,65,0.0,1,0.001568,0,PZ34,-18.083,PZ34_SWMapo_5
Szachniuk,4,18.154,96,25.839,92,0.703,70,0.923,27,0.0,1,0.636,76,11.88,95,27.556,97,0.292,47,0.0,1,0.001781,0,PZ34,-18.154,PZ34_Szachniuk_4
Xiao,2,18.43,97,26.956,95,0.684,84,0.866,82,-1.0,65,0.63,82,0.91,25,37.365,101,0.245,86,0.0,1,0.002879,0,PZ34,-18.43,PZ34_Xiao_2
Chen,9,18.686,98,27.259,96,0.686,82,0.878,71,0.0,1,0.635,77,0.46,21,19.558,49,0.24,91,0.0,1,0.004413,0,PZ34,-18.686,PZ34_Chen_9
Bujnicki,3,18.874,99,27.848,97,0.678,88,0.843,89,-1.0,65,0.629,83,0.0,1,23.234,80,0.246,85,0.0,1,0.005956,0,PZ34,-18.874,PZ34_Bujnicki_3
Bujnicki,4,19.172,100,28.891,99,0.664,93,0.843,89,-1.0,65,0.609,92,0.46,21,23.573,82,0.248,83,0.0,1,0.00942,0,PZ34,-19.172,PZ34_Bujnicki_4
Dokholyan,1,21.255,101,32.917,101,0.646,95,0.866,82,-1.0,65,0.569,98,0.0,1,27.25,96,0.233,95,0.0,1,0.1167,0,PZ34,-21.255,PZ34_Dokholyan_1
Bujnicki,3,5.982,1,7.899,1,0.757,11,0.854,3,-1.0,1,0.729,20,27.55,35,22.576,5,0.397,7,0.0,1,0.0,0,PZ35,-5.982,PZ35_Bujnicki_3
Chen,5,6.498,2,8.284,2,0.784,5,0.836,8,-1.0,1,0.766,3,0.0,1,22.485,3,0.41,5,0.0,1,0.0,0,PZ35,-6.498,PZ35_Chen_5
Chen,7,6.556,3,8.357,4,0.784,5,0.836,8,-1.0,1,0.766,3,0.0,1,22.628,7,0.404,6,0.0,1,0.0,0,PZ35,-6.556,PZ35_Chen_7
Chen,9,6.601,4,8.45,6,0.781,7,0.854,3,-1.0,1,0.755,11,0.0,1,22.609,6,0.419,1,0.0,1,0.0,0,PZ35,-6.601,PZ35_Chen_9
Chen,2,6.646,5,8.417,5,0.79,3,0.854,3,-1.0,1,0.766,3,0.0,1,23.472,11,0.416,2,0.0,1,0.0,0,PZ35,-6.646,PZ35_Chen_2
Chen,4,6.657,6,8.343,3,0.798,1,0.854,3,-1.0,1,0.778,2,0.0,1,23.413,10,0.411,4,0.0,1,0.0,0,PZ35,-6.657,PZ35_Chen_4
Chen,1,6.797,7,8.608,7,0.79,3,0.874,2,-1.0,1,0.759,8,0.0,1,22.867,8,0.416,2,0.0,1,0.0,0,PZ35,-6.797,PZ35_Chen_1
SimRNA,4,7.718,8,10.359,8,0.745,13,0.896,1,-1.0,1,0.705,26,104.57,43,26.959,36,0.39,8,0.0,1,0.0,0,PZ35,-7.718,PZ35_SimRNA_4
SimRNA,5,7.791,9,10.712,10,0.727,18,0.836,8,-1.0,1,0.687,28,118.79,47,24.045,15,0.354,10,0.0,1,0.0,0,PZ35,-7.791,PZ35_SimRNA_5
SimRNA,2,7.833,10,10.64,9,0.736,16,0.823,14,-1.0,1,0.712,25,93.04,38,21.486,1,0.34,12,0.0,1,0.0,0,PZ35,-7.833,PZ35_SimRNA_2
SimRNA,1,8.054,11,11.227,11,0.717,23,0.804,15,-1.0,1,0.692,27,109.86,45,28.233,44,0.357,9,0.0,1,0.0,0,PZ35,-8.054,PZ35_SimRNA_1
Szachniuk,4,8.804,12,13.374,12,0.658,32,0.648,31,-1.0,1,0.673,31,0.0,1,34.645,50,0.324,19,0.0,1,1.11e-16,0,PZ35,-8.804,PZ35_Szachniuk_4
SimRNA,3,11.536,13,14.769,13,0.781,7,0.843,7,-1.0,1,0.766,3,85.82,37,25.437,25,0.295,24,0.0,1,9.623e-12,0,PZ35,-11.536,PZ35_SimRNA_3
Szachniuk,3,13.111,14,17.902,14,0.732,17,0.669,30,-1.0,1,0.763,7,0.9,15,22.326,2,0.323,20,0.0,1,2.667e-09,0,PZ35,-13.111,PZ35_Szachniuk_3
Szachniuk,1,14.097,15,19.666,16,0.717,23,0.693,27,-1.0,1,0.733,16,0.0,1,24.404,19,0.333,16,0.0,1,6.165e-08,0,PZ35,-14.097,PZ35_Szachniuk_1
Szachniuk,2,14.112,16,19.516,15,0.723,19,0.719,25,-1.0,1,0.733,16,0.0,1,24.175,17,0.33,17,0.0,1,6.433e-08,0,PZ35,-14.112,PZ35_Szachniuk_2
Bujnicki,5,14.742,17,21.736,20,0.678,31,0.8,16,-1.0,1,0.635,38,97.84,41,26.932,35,0.24,38,0.0,1,4.106e-07,0,PZ35,-14.742,PZ35_Bujnicki_5
Chen,8,15.308,18,21.386,19,0.716,26,0.648,31,-1.0,1,0.746,15,0.0,1,22.964,9,0.335,15,0.0,1,1.958e-06,0,PZ35,-15.308,PZ35_Chen_8
Ding,3,15.591,19,26.706,31,0.584,37,0.487,37,-1.0,1,0.627,40,11.76,23,26.979,37,0.254,35,0.0,1,4.125e-06,0,PZ35,-15.591,PZ35_Ding_3
Bujnicki,1,16.05,20,21.047,18,0.763,10,0.8,16,-1.0,1,0.758,9,44.26,36,22.527,4,0.341,11,0.0,1,1.312e-05,0,PZ35,-16.05,PZ35_Bujnicki_1
Dokholyan,1,16.161,21,26.089,30,0.619,34,0.693,27,-1.0,1,0.594,48,0.46,14,31.778,49,0.294,25,0.0,1,1.721e-05,0,PZ35,-16.161,PZ35_Dokholyan_1
Chen,10,16.439,22,23.311,23,0.705,28,0.648,31,-1.0,1,0.731,18,0.0,1,23.921,14,0.338,14,0.0,1,3.334e-05,0,PZ35,-16.439,PZ35_Chen_10
Ding,1,16.495,23,28.907,36,0.571,39,0.457,39,-1.0,1,0.622,42,12.66,27,29.371,48,0.225,44,0.0,1,3.805e-05,0,PZ35,-16.495,PZ35_Ding_1
Chen,6,16.513,24,22.948,22,0.72,21,0.648,31,-1.0,1,0.75,14,0.0,1,23.739,12,0.329,18,0.0,1,3.966e-05,0,PZ35,-16.513,PZ35_Chen_6
Nithin,5,16.626,25,20.98,17,0.792,2,0.743,20,-1.0,1,0.81,1,19.94,34,26.012,30,0.287,28,0.0,1,5.141e-05,0,PZ35,-16.626,PZ35_Nithin_5
Ding,4,16.735,26,29.605,38,0.565,40,0.457,39,-1.0,1,0.617,44,11.76,23,28.819,45,0.229,42,0.0,1,6.584e-05,0,PZ35,-16.735,PZ35_Ding_4
Ding,7,16.852,27,28.974,37,0.582,38,0.471,38,-1.0,1,0.627,40,11.76,23,26.69,33,0.314,21,0.0,1,8.559e-05,0,PZ35,-16.852,PZ35_Ding_7
Ding,2,17.067,28,33.211,40,0.514,46,0.457,39,-1.0,1,0.543,51,8.59,20,28.957,46,0.222,46,0.0,1,0.0001369,0,PZ35,-17.067,PZ35_Ding_2
Chen,3,17.203,29,24.395,26,0.705,28,0.629,35,-1.0,1,0.731,18,0.0,1,23.908,13,0.34,12,0.0,1,0.0001832,0,PZ35,-17.203,PZ35_Chen_3
Ding,5,17.425,30,30.825,39,0.565,40,0.412,43,-1.0,1,0.631,39,13.57,29,25.957,29,0.215,48,0.0,1,0.0002909,0,PZ35,-17.425,PZ35_Ding_5
Bujnicki,2,17.573,31,22.861,21,0.769,9,0.8,16,-1.0,1,0.758,9,110.51,46,24.535,20,0.289,27,0.0,1,0.0003927,0,PZ35,-17.573,PZ35_Bujnicki_2
Ding,6,17.722,32,33.65,41,0.527,45,0.457,39,-1.0,1,0.557,50,17.64,33,26.691,34,0.219,47,0.0,1,0.0005283,0,PZ35,-17.722,PZ35_Ding_6
Nithin,3,17.836,33,24.049,24,0.742,14,0.722,24,-1.0,1,0.751,13,2.27,16,24.909,21,0.232,41,0.0,1,0.0006595,0,PZ35,-17.836,PZ35_Nithin_3
Nithin,1,17.991,34,24.052,25,0.748,12,0.73,21,-1.0,1,0.754,12,7.71,19,27.149,39,0.229,42,0.0,1,0.0008872,0,PZ35,-17.991,PZ35_Nithin_1
RNAComposer,3,18.095,35,25.765,29,0.702,30,0.825,11,-1.0,1,0.656,35,15.83,31,26.992,38,0.3,22,0.0,1,0.001079,0,PZ35,-18.095,PZ35_RNAComposer_3
Nithin,2,18.121,36,24.528,27,0.739,15,0.766,19,-1.0,1,0.729,20,3.63,18,26.251,32,0.223,45,0.0,1,0.001133,0,PZ35,-18.121,PZ35_Nithin_2
RNAComposer,1,18.17,37,28.349,33,0.641,33,0.719,25,-1.0,1,0.612,45,16.73,32,29.091,47,0.282,29,0.0,1,0.001238,0,PZ35,-18.17,PZ35_RNAComposer_1
RNAComposer,4,18.57,38,25.73,28,0.722,20,0.825,11,-1.0,1,0.683,30,12.21,26,25.737,28,0.274,30,0.0,1,0.002523,0,PZ35,-18.57,PZ35_RNAComposer_4
Nithin,4,19.561,39,27.271,32,0.717,23,0.73,21,-1.0,1,0.713,24,10.41,22,25.19,23,0.239,39,0.0,1,0.01212,0,PZ35,-19.561,PZ35_Nithin_4
Dfold2,8,20.146,40,35.738,42,0.564,42,0.183,46,-1.0,1,0.687,28,96.88,40,27.936,43,0.233,40,0.0,1,0.02693,0,PZ35,-20.146,PZ35_Dfold2_8
RNAComposer,5,20.246,41,28.432,35,0.712,27,0.825,11,-1.0,1,0.67,32,10.4,21,27.521,40,0.293,26,0.0,1,0.03054,0,PZ35,-20.246,PZ35_RNAComposer_5
Bujnicki,4,20.382,42,28.399,34,0.718,22,0.73,21,-1.0,1,0.714,23,161.12,51,25.068,22,0.3,22,0.0,1,0.03614,0,PZ35,-20.382,PZ35_Bujnicki_4
Dfold2,5,20.911,43,42.103,44,0.497,48,0.0,47,-1.0,1,0.661,33,109.25,44,25.226,24,0.25,36,0.0,1,0.06639,0,PZ35,-20.911,PZ35_Dfold2_5
Dfold2,1,20.943,44,43.569,47,0.481,50,0.0,47,-1.0,1,0.644,37,13.12,28,24.059,16,0.249,37,0.0,1,0.0687,0,PZ35,-20.943,PZ35_Dfold2_1
Dfold2,6,24.265,45,47.517,48,0.511,47,0.211,45,-1.0,1,0.622,42,140.14,49,27.878,42,0.261,32,0.0,1,0.6406,0,PZ35,-24.265,PZ35_Dfold2_6
Dfold2,4,24.325,46,43.294,46,0.562,43,0.316,44,-1.0,1,0.648,36,123.08,48,26.122,31,0.261,32,0.0,1,0.6529,0,PZ35,-24.325,PZ35_Dfold2_4
Dokholyan,2,24.936,47,41.271,43,0.604,36,0.612,36,-1.0,1,0.61,46,2.31,17,38.172,51,0.163,51,0.0,1,0.7683,0,PZ35,-24.936,PZ35_Dokholyan_2
RNAComposer,2,25.815,48,42.206,45,0.612,35,0.693,27,-1.0,1,0.582,49,13.57,29,27.684,41,0.261,32,0.0,1,0.889,0,PZ35,-25.815,PZ35_RNAComposer_2
Dfold2,7,28.883,49,64.084,50,0.451,51,0.0,47,-1.0,1,0.61,46,93.99,39,25.441,26,0.208,49,0.0,1,0.9983,0,PZ35,-28.883,PZ35_Dfold2_7
Dfold2,3,30.185,50,56.478,49,0.534,44,0.0,47,-1.0,1,0.722,22,153.43,50,24.23,18,0.207,50,0.0,1,0.9999,0,PZ35,-30.185,PZ35_Dfold2_3
Dfold2,2,31.398,51,64.905,51,0.484,49,0.0,47,-1.0,1,0.661,33,104.12,42,25.451,27,0.272,31,0.0,1,1.0,0,PZ35,-31.398,PZ35_Dfold2_2
Szachniuk,4,21.181,1,33.861,3,0.626,24,0.616,12,-1.0,1,0.645,23,0.68,13,30.163,33,0.324,16,0.0,1,7.216e-16,0,PZ36,-21.181,PZ36_Szachniuk_4
Bujnicki,5,21.654,2,36.06,8,0.6,25,0.604,22,-1.0,1,0.605,26,104.45,31,27.084,31,0.28,19,0.0,1,5.718e-15,0,PZ36,-21.654,PZ36_Bujnicki_5
Ding,1,21.817,3,36.844,9,0.592,26,0.506,33,-1.0,1,0.633,25,9.04,19,24.148,22,0.291,18,0.0,1,1.16e-14,0,PZ36,-21.817,PZ36_Ding_1
Szachniuk,1,23.425,4,33.906,4,0.691,13,0.63,8,-1.0,1,0.728,13,0.0,1,21.966,19,0.376,14,0.0,1,8.011e-12,0,PZ36,-23.425,PZ36_Szachniuk_1
Bujnicki,4,23.535,5,37.395,10,0.629,23,0.605,16,-1.0,1,0.643,24,159.67,33,27.189,32,0.271,20,0.0,1,1.219e-11,0,PZ36,-23.535,PZ36_Bujnicki_4
Chen,1,24.015,6,29.32,1,0.819,1,0.871,2,-1.0,1,0.798,1,0.23,9,19.678,8,0.515,4,0.0,1,7.265e-11,0,PZ36,-24.015,PZ36_Chen_1
Szachniuk,3,24.3,7,35.429,6,0.686,14,0.63,8,-1.0,1,0.724,15,0.0,1,18.876,1,0.394,13,0.0,1,2.027e-10,0,PZ36,-24.3,PZ36_Szachniuk_3
Szachniuk,2,24.487,8,35.798,7,0.684,16,0.598,24,-1.0,1,0.73,12,2.49,14,19.472,3,0.346,15,0.0,1,3.921e-10,0,PZ36,-24.487,PZ36_Szachniuk_2
Chen,4,24.506,9,29.918,2,0.819,1,0.884,1,-1.0,1,0.793,3,0.0,1,20.017,12,0.509,6,0.0,1,4.182e-10,0,PZ36,-24.506,PZ36_Chen_4
Ding,3,25.031,10,47.37,23,0.528,33,0.508,32,-1.0,1,0.541,32,7.23,17,24.287,23,0.208,31,0.0,1,2.522e-09,0,PZ36,-25.031,PZ36_Ding_3
RNAComposer,3,26.353,11,40.217,12,0.655,19,0.621,11,-1.0,1,0.679,20,12.66,27,21.351,18,0.253,22,0.0,1,1.598e-07,0,PZ36,-26.353,PZ36_RNAComposer_3
RNAComposer,2,27.327,12,41.716,15,0.655,19,0.605,16,-1.0,1,0.682,19,11.76,25,19.872,10,0.26,21,0.0,1,2.435e-06,0,PZ36,-27.327,PZ36_RNAComposer_2
RNAComposer,1,27.543,13,42.285,16,0.651,21,0.605,16,-1.0,1,0.678,21,11.08,23,22.172,20,0.245,24,0.0,1,4.287e-06,0,PZ36,-27.543,PZ36_RNAComposer_1
Chen,5,27.956,14,34.502,5,0.81,3,0.85,5,-1.0,1,0.795,2,0.23,9,19.535,6,0.515,4,0.0,1,1.218e-05,0,PZ36,-27.956,PZ36_Chen_5
Ding,2,27.961,15,51.615,27,0.542,32,0.537,30,-1.0,1,0.548,31,8.14,18,25.461,27,0.194,32,0.0,1,1.23e-05,0,PZ36,-27.961,PZ36_Ding_2
RNAComposer,4,28.717,16,43.107,18,0.666,18,0.605,16,-1.0,1,0.7,18,9.27,20,20.406,15,0.234,25,0.0,1,7.29e-05,0,PZ36,-28.717,PZ36_RNAComposer_4
RNAComposer,5,29.05,17,42.358,17,0.686,14,0.605,16,-1.0,1,0.726,14,11.53,24,19.661,7,0.25,23,0.0,1,0.0001512,0,PZ36,-29.05,PZ36_RNAComposer_5
Nithin,1,29.751,18,53.591,29,0.555,30,0.594,25,-1.0,1,0.54,33,6.33,16,25.014,25,0.225,27,0.0,1,0.0006325,0,PZ36,-29.751,PZ36_Nithin_1
Ding,4,30.035,19,54.915,32,0.547,31,0.52,31,-1.0,1,0.563,29,9.72,21,26.039,29,0.182,33,0.0,1,0.001086,0,PZ36,-30.035,PZ36_Ding_4
Nithin,4,30.275,20,54.327,30,0.557,29,0.552,29,-1.0,1,0.569,28,11.76,25,25.402,26,0.23,26,0.0,1,0.00168,0,PZ36,-30.275,PZ36_Nithin_4
Nithin,2,30.481,21,52.13,28,0.585,27,0.602,23,-1.0,1,0.578,27,10.63,22,25.621,28,0.225,27,0.0,1,0.002414,0,PZ36,-30.481,PZ36_Nithin_2
Chen,2,30.592,22,38.179,11,0.801,4,0.858,3,-1.0,1,0.778,4,0.0,1,19.824,9,0.519,3,0.0,1,0.002923,0,PZ36,-30.592,PZ36_Chen_2
Nithin,3,30.707,23,54.36,31,0.565,28,0.585,26,-1.0,1,0.561,30,5.21,15,26.563,30,0.225,27,0.0,1,0.003546,0,PZ36,-30.707,PZ36_Nithin_3
Chen,10,30.796,24,43.394,19,0.71,10,0.616,12,-1.0,1,0.753,11,0.0,1,20.033,13,0.411,9,0.0,1,0.004108,0,PZ36,-30.796,PZ36_Chen_10
Nithin,5,31.007,25,48.025,25,0.646,22,0.605,16,-1.0,1,0.664,22,81.61,30,24.354,24,0.21,30,0.0,1,0.005771,0,PZ36,-31.007,PZ36_Nithin_5
Chen,6,31.507,26,43.744,20,0.72,8,0.623,10,-1.0,1,0.768,7,0.0,1,19.953,11,0.404,12,0.0,1,0.01228,0,PZ36,-31.507,PZ36_Chen_6
Chen,9,32.083,27,40.56,14,0.791,6,0.845,7,-1.0,1,0.769,6,0.23,9,19.25,2,0.52,2,0.0,1,0.02693,0,PZ36,-32.083,PZ36_Chen_9
Chen,7,32.323,28,40.534,13,0.797,5,0.85,5,-1.0,1,0.777,5,0.23,9,19.48,4,0.507,7,0.0,1,0.03635,0,PZ36,-32.323,PZ36_Chen_7
Chen,8,32.485,29,45.741,21,0.71,10,0.616,12,-1.0,1,0.754,10,0.0,1,19.495,5,0.407,11,0.0,1,0.0441,0,PZ36,-32.485,PZ36_Chen_8
Chen,3,32.893,30,46.08,22,0.714,9,0.61,15,-1.0,1,0.762,8,0.0,1,20.149,14,0.41,10,0.0,1,0.06969,0,PZ36,-32.893,PZ36_Chen_3
Bujnicki,2,33.742,31,48.007,24,0.703,12,0.575,28,-1.0,1,0.759,9,105.31,32,23.736,21,0.305,17,0.0,1,0.1571,0,PZ36,-33.742,PZ36_Bujnicki_2
Bujnicki,3,37.618,32,50.719,26,0.742,7,0.854,4,-1.0,1,0.702,17,33.0,28,21.095,16,0.544,1,0.0,1,0.8742,0,PZ36,-37.618,PZ36_Bujnicki_3
Bujnicki,1,37.94,33,56.837,33,0.668,17,0.578,27,-1.0,1,0.716,16,48.97,29,21.2,17,0.475,8,0.0,1,0.9075,0,PZ36,-37.94,PZ36_Bujnicki_1
Chen,6,5.42,1,7.871,1,0.689,27,0.964,2,0.0,1,0.645,33,1.02,15,29.585,31,0.387,2,0.0,1,0.0,0,PZ37,-5.42,PZ37_Chen_6
Szachniuk,4,6.222,2,9.043,2,0.688,30,0.929,21,0.0,1,0.646,32,12.22,26,30.546,38,0.303,42,0.0,1,0.0,1,PZ37,-6.222,PZ37_Szachniuk_4
Chen,3,6.593,3,9.967,5,0.661,38,0.889,38,-1.0,40,0.612,44,0.0,1,32.957,61,0.404,1,0.0,1,0.0,0,PZ37,-6.593,PZ37_Chen_3
Chen,2,6.966,4,9.671,3,0.72,16,0.926,28,-1.0,40,0.682,16,0.51,6,31.5,50,0.375,4,0.0,1,5.551e-17,0,PZ37,-6.966,PZ37_Chen_2
Chen,7,7.107,5,9.895,4,0.718,19,0.964,2,0.0,1,0.674,22,0.51,6,30.08,36,0.353,10,0.0,1,1.665e-16,0,PZ37,-7.107,PZ37_Chen_7
Chen,4,7.542,6,10.945,6,0.689,27,0.926,28,-1.0,40,0.645,33,0.0,1,32.214,53,0.361,7,0.0,1,1.055e-15,0,PZ37,-7.542,PZ37_Chen_4
Szachniuk,1,9.37,7,13.821,9,0.678,32,0.889,38,-1.0,40,0.628,38,6.62,22,29.814,33,0.251,52,0.0,1,2.242e-12,0,PZ37,-9.37,PZ37_Szachniuk_1
Chen,1,9.745,8,13.136,7,0.742,6,0.926,28,0.0,1,0.721,4,0.51,6,31.722,51,0.352,11,0.0,1,9.551e-12,0,PZ37,-9.745,PZ37_Chen_1
Szachniuk,3,9.877,9,13.326,8,0.741,8,0.964,2,0.0,1,0.702,13,14.77,38,30.075,35,0.327,32,0.0,1,1.576e-11,0,PZ37,-9.877,PZ37_Szachniuk_3
Yang,2,10.335,10,14.349,10,0.72,16,0.889,38,-1.0,40,0.691,15,7.64,23,33.076,62,0.339,18,0.0,1,8.596e-11,0,PZ37,-10.335,PZ37_Yang_2
Szachniuk,2,11.377,11,15.728,12,0.723,13,0.964,2,-1.0,40,0.664,24,14.77,38,29.952,34,0.285,46,0.0,1,3.198e-09,0,PZ37,-11.377,PZ37_Szachniuk_2
Chen,5,11.41,12,15.213,11,0.75,5,0.964,2,-1.0,40,0.712,8,0.51,6,30.972,42,0.273,48,0.0,1,3.571e-09,0,PZ37,-11.41,PZ37_Chen_5
Yang,6,11.413,13,19.718,25,0.579,49,0.606,49,0.0,1,0.603,45,20.88,57,34.603,70,0.286,45,0.0,1,3.608e-09,0,PZ37,-11.413,PZ37_Yang_6
RNAComposer,5,11.564,14,17.168,14,0.674,33,0.897,31,-1.0,40,0.613,42,10.18,25,32.335,55,0.244,53,0.0,1,5.923e-09,0,PZ37,-11.564,PZ37_RNAComposer_5
DasSWMapo,2,11.683,15,17.932,18,0.652,39,0.964,2,0.0,1,0.616,41,14.26,35,27.76,17,0.335,23,0.0,1,8.711e-09,0,PZ37,-11.683,PZ37_DasSWMapo_2
Yang,1,11.685,16,19.985,26,0.585,48,0.707,45,0.0,1,0.584,57,16.29,45,36.033,76,0.263,49,0.0,1,8.768e-09,0,PZ37,-11.685,PZ37_Yang_1
DasARESapo,2,11.918,17,16.739,13,0.712,22,0.964,2,0.0,1,0.667,23,22.91,59,29.009,24,0.322,34,0.0,1,1.841e-08,0,PZ37,-11.918,PZ37_DasARESapo_2
Chen,8,12.333,18,17.209,15,0.717,20,0.964,2,0.0,1,0.675,19,0.51,6,30.954,41,0.335,23,0.0,1,6.643e-08,0,PZ37,-12.333,PZ37_Chen_8
Yang,7,12.35,19,20.93,36,0.59,47,0.655,48,-1.0,40,0.603,45,25.46,61,38.582,80,0.285,46,0.0,1,7.002e-08,0,PZ37,-12.35,PZ37_Yang_7
RNAComposer,3,12.524,20,18.279,22,0.685,31,0.935,17,-1.0,40,0.618,40,12.22,26,35.068,73,0.307,40,0.0,1,1.18e-07,0,PZ37,-12.524,PZ37_RNAComposer_3
DasFARFAR2ARESholo,1,12.894,21,18.16,21,0.71,23,0.897,31,0.0,1,0.682,16,16.29,45,25.162,2,0.327,32,0.0,1,3.472e-07,0,PZ37,-12.894,PZ37_DasFARFAR2ARESholo_1
DiMaio,1,12.947,22,17.709,16,0.731,11,0.806,43,-1.0,40,0.736,3,0.0,1,27.693,16,0.317,35,0.0,1,4.038e-07,0,PZ37,-12.947,PZ37_DiMaio_1
RNAComposer,2,12.954,23,20.068,27,0.645,41,0.869,41,-1.0,40,0.584,57,12.73,28,33.519,64,0.254,51,0.0,1,4.115e-07,0,PZ37,-12.954,PZ37_RNAComposer_2
DasSWMapo,5,13.508,24,20.782,35,0.65,40,0.929,21,0.0,1,0.598,48,18.33,52,29.032,25,0.349,12,0.0,1,1.902e-06,0,PZ37,-13.508,PZ37_DasSWMapo_5
Bujnicki,5,13.571,25,22.43,41,0.605,44,0.357,54,0.0,1,0.713,7,123.79,73,25.403,3,0.36,8,0.0,1,2.251e-06,0,PZ37,-13.571,PZ37_Bujnicki_5
Bujnicki,4,13.649,26,22.86,45,0.597,45,0.345,55,0.0,1,0.712,8,133.16,78,26.807,7,0.331,26,0.0,1,2.767e-06,0,PZ37,-13.649,PZ37_Bujnicki_4
DasARESapo,4,13.651,27,18.139,19,0.753,3,0.935,17,-1.0,40,0.719,5,17.31,48,27.425,10,0.315,37,0.0,1,2.781e-06,0,PZ37,-13.651,PZ37_DasARESapo_4
DasFARFAR2ARESholo,2,13.651,27,18.139,19,0.753,3,0.935,17,-1.0,40,0.719,5,17.31,48,27.425,10,0.315,37,0.0,1,2.781e-06,0,PZ37,-13.651,PZ37_DasFARFAR2ARESholo_2
DasSWMapo,1,13.848,29,20.602,32,0.672,34,0.964,2,0.0,1,0.638,35,18.84,53,28.338,19,0.354,9,0.0,1,4.651e-06,1,PZ37,-13.848,PZ37_DasSWMapo_1
Yang,3,13.919,30,17.769,17,0.783,1,0.964,2,-1.0,40,0.756,2,24.95,60,32.416,56,0.289,44,0.0,1,5.574e-06,0,PZ37,-13.919,PZ37_Yang_3
DasARESapo,1,14.102,31,20.163,28,0.699,24,0.897,31,-1.0,40,0.66,26,13.75,31,27.668,14,0.316,36,0.0,1,8.858e-06,0,PZ37,-14.102,PZ37_DasARESapo_1
DasFARFAR2ARESholo,4,14.14,32,19.319,23,0.732,9,0.897,31,0.0,1,0.712,8,14.77,38,28.999,22,0.338,20,0.0,1,9.739e-06,0,PZ37,-14.14,PZ37_DasFARFAR2ARESholo_4
DasFARFAR2apo,1,14.14,32,19.319,23,0.732,9,0.897,31,0.0,1,0.712,8,14.77,38,28.999,22,0.338,20,0.0,1,9.739e-06,0,PZ37,-14.14,PZ37_DasFARFAR2apo_1
Chen,10,14.146,34,20.226,30,0.699,24,0.929,21,-1.0,40,0.654,29,0.0,1,29.32,27,0.329,27,0.0,1,9.881e-06,0,PZ37,-14.146,PZ37_Chen_10
DasSWMapo,3,14.188,35,20.606,33,0.689,27,0.964,2,0.0,1,0.652,30,13.74,30,28.562,20,0.335,23,0.0,1,1.096e-05,1,PZ37,-14.188,PZ37_DasSWMapo_3
Bujnicki,3,14.329,36,25.567,47,0.56,51,0.345,55,0.0,1,0.66,26,192.97,85,31.214,43,0.342,16,0.0,1,1.552e-05,0,PZ37,-14.329,PZ37_Bujnicki_3
DasFARFAR2ARESholo,5,14.541,37,20.208,29,0.72,16,0.966,1,0.0,1,0.682,16,17.31,48,26.778,6,0.343,15,0.0,1,2.579e-05,1,PZ37,-14.541,PZ37_DasFARFAR2ARESholo_5
DasFARFAR2apo,3,14.689,38,21.158,37,0.694,26,0.964,2,0.0,1,0.659,28,19.35,55,27.505,13,0.328,30,0.0,1,3.655e-05,1,PZ37,-14.689,PZ37_DasFARFAR2apo_3
Bujnicki,1,14.835,39,29.665,53,0.5,58,0.334,57,0.0,1,0.589,52,72.38,63,27.687,15,0.376,3,0.0,1,5.118e-05,1,PZ37,-14.835,PZ37_Bujnicki_1
DasARESapo,3,14.974,40,20.589,31,0.727,12,0.929,21,0.0,1,0.697,14,17.83,51,28.322,18,0.328,30,0.0,1,7.026e-05,1,PZ37,-14.974,PZ37_DasARESapo_3
Szachniuk,5,15.015,41,20.758,34,0.723,13,0.964,2,-1.0,40,0.664,24,6.11,21,33.085,63,0.307,40,0.0,1,7.69e-05,0,PZ37,-15.015,PZ37_Szachniuk_5
RNAComposer,1,15.081,42,22.715,44,0.664,37,0.929,21,-1.0,40,0.593,51,12.73,28,31.452,49,0.314,39,0.0,1,8.919e-05,0,PZ37,-15.081,PZ37_RNAComposer_1
Bujnicki,2,15.116,43,30.229,54,0.5,58,0.315,59,-1.0,40,0.584,57,101.53,65,29.488,30,0.366,5,0.0,1,9.636e-05,1,PZ37,-15.116,PZ37_Bujnicki_2
